,symbol,time stamp,open,high,low,close,volume
35042,TSLA,2023-02-24 12:02,197.08,197.25,196.86,197.0102,235683
35043,TSLA,2023-02-24 12:03,197.0,197.04,196.62,196.78,253213
35044,TSLA,2023-02-24 12:04,196.77,196.84,196.4,196.4662,353854
35045,TSLA,2023-02-24 12:05,196.48,196.68,196.38,196.4714,231997
35046,TSLA,2023-02-24 12:06,196.4797,196.5408,196.34,196.45,253975
35047,TSLA,2023-02-24 12:07,196.4567,196.5799,196.15,196.3568,315603
35048,TSLA,2023-02-24 12:08,196.3625,196.43,196.03,196.1026,304898
35049,TSLA,2023-02-24 12:09,196.1077,196.38,196.1,196.3256,216390
35050,TSLA,2023-02-24 12:10,196.34,196.61,196.3305,196.457,290242
35051,TSLA,2023-02-24 12:11,196.46,196.6499,196.3179,196.53,204199
35052,TSLA,2023-02-24 12:12,196.545,196.5992,196.14,196.218,236186
35053,TSLA,2023-02-24 12:13,196.2,196.49,196.19,196.4001,142933
35054,TSLA,2023-02-24 12:14,196.414,196.79,196.4,196.69,338097
35055,TSLA,2023-02-24 12:15,196.73,196.86,196.56,196.7201,234741
35056,TSLA,2023-02-24 12:16,196.728,196.89,196.56,196.625,205809
35057,TSLA,2023-02-24 12:17,196.6299,196.6699,195.92,196.065,428536
35058,TSLA,2023-02-24 12:18,196.0667,196.0695,195.7401,195.96,323351
35059,TSLA,2023-02-24 12:19,195.9742,195.9742,195.66,195.7934,279905
35060,TSLA,2023-02-24 12:20,195.7859,195.94,195.6827,195.8869,232936
35061,TSLA,2023-02-24 12:21,195.87,195.92,195.7,195.86,231026
35062,TSLA,2023-02-24 12:22,195.86,196.0299,195.75,195.9993,218892
35063,TSLA,2023-02-24 12:23,196.01,196.09,195.85,195.938,202731
35064,TSLA,2023-02-24 12:24,195.92,196.1499,195.91,196.035,229266
35065,TSLA,2023-02-24 12:25,196.0323,196.0866,195.63,195.6934,308298
35066,TSLA,2023-02-24 12:26,195.7,195.73,195.37,195.58,372316
35067,TSLA,2023-02-24 12:27,195.585,195.77,195.57,195.61,202524
35068,TSLA,2023-02-24 12:28,195.6044,196.098,195.53,196.0445,225569
35069,TSLA,2023-02-24 12:29,196.06,196.2,195.8403,195.925,295638
35070,TSLA,2023-02-24 12:30,195.95,196.13,195.8,195.92,242522
